에포크: 1, 손실: 0.7441563606262207, 정확도: 82.7540283203125, 테스트 손실: 0.7507022023200989, 테스트 정확도: 81.14212799072266
에포크: 2, 손실: 0.698369562625885, 정확도: 82.90584564208984, 테스트 손실: 0.6901820302009583, 테스트 정확도: 81.77072143554688
에포크: 3, 손실: 0.6630799174308777, 정확도: 83.18284606933594, 테스트 손실: 0.6457569003105164, 테스트 정확도: 82.48809814453125
에포크: 4, 손실: 0.6297165751457214, 정확도: 83.58170318603516, 테스트 손실: 0.6313292980194092, 테스트 정확도: 82.64702606201172
에포크: 5, 손실: 0.5978938937187195, 정확도: 84.10547637939453, 테스트 손실: 0.5889168977737427, 테스트 정확도: 83.6522445678711
에포크: 6, 손실: 0.5698125958442688, 정확도: 84.61357116699219, 테스트 손실: 0.55870121717453, 테스트 정확도: 84.37567138671875
에포크: 7, 손실: 0.5425374507904053, 정확도: 85.1302261352539, 테스트 손실: 0.5502237677574158, 테스트 정확도: 84.47383880615234
에포크: 8, 손실: 0.5216501951217651, 정확도: 85.56631469726562, 테스트 손실: 0.5428150296211243, 테스트 정확도: 84.4862060546875
에포크: 9, 손실: 0.49965742230415344, 정확도: 86.03926849365234, 테스트 손실: 0.5211135149002075, 테스트 정확도: 84.99656677246094
에포크: 10, 손실: 0.47849228978157043, 정확도: 86.51138305664062, 테스트 손실: 0.5042874217033386, 테스트 정확도: 85.41338348388672
에포크: 11, 손실: 0.4654362201690674, 정확도: 86.84245300292969, 테스트 손실: 0.48783478140830994, 테스트 정확도: 85.75440979003906
에포크: 12, 손실: 0.4472409188747406, 정확도: 87.27482604980469, 테스트 손실: 0.47691959142684937, 테스트 정확도: 85.94004821777344
에포크: 13, 손실: 0.43083655834198, 정확도: 87.66710662841797, 테스트 손실: 0.45889854431152344, 테스트 정확도: 86.41348266601562
에포크: 14, 손실: 0.4160211384296417, 정확도: 88.0328369140625, 테스트 손실: 0.44667208194732666, 테스트 정확도: 86.71121215820312
에포크: 15, 손실: 0.40226662158966064, 정확도: 88.37306213378906, 테스트 손실: 0.42933782935142517, 테스트 정확도: 87.19369506835938
에포크: 16, 손실: 0.39592090249061584, 정확도: 88.54624938964844, 테스트 손실: 0.43433210253715515, 테스트 정확도: 86.88538360595703
에포크: 17, 손실: 0.38377517461776733, 정확도: 88.85086822509766, 테스트 손실: 0.4236491322517395, 테스트 정확도: 87.17050170898438
에포크: 18, 손실: 0.3727268874645233, 정확도: 89.13215637207031, 테스트 손실: 0.4103667140007019, 테스트 정확도: 87.52574920654297
에포크: 19, 손실: 0.36188456416130066, 정확도: 89.41185760498047, 테스트 손실: 0.3993930518627167, 테스트 정확도: 87.82284545898438
에포크: 20, 손실: 0.35166946053504944, 정확도: 89.68091583251953, 테스트 손실: 0.3893830478191376, 테스트 정확도: 88.10409545898438
에포크: 21, 손실: 0.3424261808395386, 정확도: 89.92218780517578, 테스트 손실: 0.38152197003364563, 테스트 정확도: 88.3057861328125
에포크: 22, 손실: 0.33352911472320557, 정확도: 90.15872192382812, 테스트 손실: 0.370591938495636, 테스트 정확도: 88.6378173828125
에포크: 23, 손실: 0.3249768018722534, 정확도: 90.38672637939453, 테스트 손실: 0.3607151210308075, 테스트 정확도: 88.92522430419922
