에포크: 1, 손실: 0.614297091960907, 정확도: 86.3150863647461, 테스트 손실: 0.3172408938407898, 테스트 정확도: 90.26209259033203
에포크: 2, 손실: 0.4514605700969696, 정확도: 88.62431335449219, 테스트 손실: 0.28155428171157837, 테스트 정확도: 91.29021453857422
에포크: 3, 손실: 0.3782394528388977, 정확도: 89.94095611572266, 테스트 손실: 0.2673686444759369, 테스트 정확도: 91.81050109863281
에포크: 4, 손실: 0.3348451852798462, 정확도: 90.8243408203125, 테스트 손실: 0.2542952597141266, 테스트 정확도: 92.2011489868164
에포크: 5, 손실: 0.3035878837108612, 정확도: 91.47370147705078, 테스트 손실: 0.2429773062467575, 테스트 정확도: 92.51225280761719
에포크: 6, 손실: 0.2799055576324463, 정확도: 92.01136016845703, 테스트 손실: 0.23296889662742615, 테스트 정확도: 92.92208099365234
에포크: 7, 손실: 0.26229584217071533, 정확도: 92.41519927978516, 테스트 손실: 0.23094810545444489, 테스트 정확도: 92.97737884521484
에포크: 8, 손실: 0.24694135785102844, 정확도: 92.76368713378906, 테스트 손실: 0.2245679348707199, 테스트 정확도: 93.16801452636719
에포크: 9, 손실: 0.2340768575668335, 정확도: 93.07350158691406, 테스트 손실: 0.21963223814964294, 테스트 정확도: 93.30326080322266
에포크: 10, 손실: 0.22324062883853912, 정확도: 93.34745025634766, 테스트 손실: 0.21852530539035797, 테스트 정확도: 93.398681640625
에포크: 11, 손실: 0.21409668028354645, 정확도: 93.5757064819336, 테스트 손실: 0.21615315973758698, 테스트 정확도: 93.50967407226562
에포크: 12, 손실: 0.205751433968544, 정확도: 93.7921142578125, 테스트 손실: 0.2157669961452484, 테스트 정확도: 93.5924072265625
에포크: 13, 손실: 0.1982092708349228, 정확도: 93.99407958984375, 테스트 손실: 0.211194708943367, 테스트 정확도: 93.75420379638672
에포크: 14, 손실: 0.19182170927524567, 정확도: 94.16072082519531, 테스트 손실: 0.2096029669046402, 테스트 정확도: 93.83352661132812
에포크: 15, 손실: 0.1858593076467514, 정확도: 94.31935119628906, 테스트 손실: 0.20854593813419342, 테스트 정확도: 93.88592529296875
에포크: 16, 손실: 0.18035797774791718, 정확도: 94.47047424316406, 테스트 손실: 0.2070639580488205, 테스트 정확도: 93.94976806640625
에포크: 17, 손실: 0.17522254586219788, 정확도: 94.61148071289062, 테스트 손실: 0.2059183269739151, 테스트 정확도: 94.00984954833984
에포크: 18, 손실: 0.1709112673997879, 정확도: 94.729736328125, 테스트 손실: 0.2050396203994751, 테스트 정확도: 94.03781127929688
에포크: 19, 손실: 0.16681762039661407, 정확도: 94.84295654296875, 테스트 손실: 0.20344243943691254, 테스트 정확도: 94.103759765625
에포크: 20, 손실: 0.1633753776550293, 정확도: 94.93807220458984, 테스트 손실: 0.2022651731967926, 테스트 정확도: 94.15618896484375
에포크: 21, 손실: 0.15949681401252747, 정확도: 95.04379272460938, 테스트 손실: 0.20255210995674133, 테스트 정확도: 94.1975326538086
에포크: 22, 손실: 0.15706074237823486, 정확도: 95.1130142211914, 테스트 손실: 0.2009342759847641, 테스트 정확도: 94.2525634765625
에포크: 23, 손실: 0.15374697744846344, 정확도: 95.2020492553711, 테스트 손실: 0.20206356048583984, 테스트 정확도: 94.24860382080078
에포크: 24, 손실: 0.15067896246910095, 정확도: 95.28588104248047, 테스트 손실: 0.20083196461200714, 테스트 정확도: 94.30756378173828
에포크: 25, 손실: 0.14789558947086334, 정확도: 95.36311340332031, 테스트 손실: 0.1999373883008957, 테스트 정확도: 94.35201263427734
에포크: 26, 손실: 0.1454581916332245, 정확도: 95.43286895751953, 테스트 손실: 0.1985556185245514, 테스트 정확도: 94.4057388305664
에포크: 27, 손실: 0.14280278980731964, 정확도: 95.50810241699219, 테스트 손실: 0.1975393444299698, 테스트 정확도: 94.453125
에포크: 28, 손실: 0.14074097573757172, 정확도: 95.56541442871094, 테스트 손실: 0.19723673164844513, 테스트 정확도: 94.48038482666016
에포크: 29, 손실: 0.13890480995178223, 정확도: 95.61739349365234, 테스트 손실: 0.1969873309135437, 테스트 정확도: 94.51788330078125
에포크: 30, 손실: 0.1367618590593338, 정확도: 95.67807006835938, 테스트 손실: 0.19661149382591248, 테스트 정확도: 94.55536651611328
에포크: 31, 손실: 0.134858638048172, 정확도: 95.73338317871094, 테스트 손실: 0.1961154043674469, 테스트 정확도: 94.60246276855469
에포크: 32, 손실: 0.13289378583431244, 정확도: 95.7884750366211, 테스트 손실: 0.19619432091712952, 테스트 정확도: 94.62830352783203
에포크: 33, 손실: 0.1312141865491867, 정확도: 95.8390121459961, 테스트 손실: 0.19558992981910706, 테스트 정확도: 94.66645812988281
에포크: 34, 손실: 0.12969036400318146, 정확도: 95.88282012939453, 테스트 손실: 0.19545435905456543, 테스트 정확도: 94.68733215332031
에포크: 35, 손실: 0.12807480990886688, 정확도: 95.92884826660156, 테스트 손실: 0.19567367434501648, 테스트 정확도: 94.71887969970703
에포크: 36, 손실: 0.12669751048088074, 정확도: 95.97342681884766, 테스트 손실: 0.19558249413967133, 테스트 정확도: 94.75282287597656
에포크: 37, 손실: 0.1251920461654663, 정확도: 96.0163803100586, 테스트 손실: 0.19700995087623596, 테스트 정확도: 94.76333618164062
에포크: 38, 손실: 0.12419740110635757, 정확도: 96.04859924316406, 테스트 손실: 0.19748938083648682, 테스트 정확도: 94.79291534423828
에포크: 39, 손실: 0.1228233054280281, 정확도: 96.08907318115234, 테스트 손실: 0.19779308140277863, 테스트 정확도: 94.81060028076172
에포크: 40, 손실: 0.12167936563491821, 정확도: 96.12338256835938, 테스트 손실: 0.19792816042900085, 테스트 정확도: 94.8375244140625
에포크: 41, 손실: 0.12079848349094391, 정확도: 96.1532974243164, 테스트 손실: 0.19794690608978271, 테스트 정확도: 94.85195922851562
에포크: 42, 손실: 0.11972223222255707, 정확도: 96.187744140625, 테스트 손실: 0.1982259303331375, 테스트 정확도: 94.87737274169922
에포크: 43, 손실: 0.11840031296014786, 정확도: 96.2265396118164, 테스트 손실: 0.19874757528305054, 테스트 정확도: 94.88897705078125
에포크: 44, 손실: 0.11750540882349014, 정확도: 96.25534057617188, 테스트 손실: 0.1988849639892578, 테스트 정확도: 94.91529846191406
에포크: 45, 손실: 0.11653362959623337, 정확도: 96.28711700439453, 테스트 손실: 0.1999203860759735, 테스트 정확도: 94.91346740722656
에포크: 46, 손실: 0.11578603833913803, 정확도: 96.31126403808594, 테스트 손실: 0.2004047930240631, 테스트 정확도: 94.93486785888672
