에포크: 1, 손실: 21.23874282836914, 정확도: 82.562255859375, 테스트 손실: 0.564388632774353, 테스트 정확도: 84.70062255859375
에포크: 2, 손실: 10.838385581970215, 정확도: 84.77693176269531, 테스트 손실: 0.44342124462127686, 테스트 정확도: 87.1777114868164
에포크: 3, 손실: 7.308974266052246, 정확도: 87.15940856933594, 테스트 손실: 0.36251503229141235, 테스트 정확도: 89.1434097290039
에포크: 4, 손실: 5.527816295623779, 정확도: 88.81342315673828, 테스트 손실: 0.31455060839653015, 테스트 정확도: 90.45919036865234
에포크: 5, 손실: 4.451180934906006, 정확도: 90.02264404296875, 테스트 손실: 0.28769803047180176, 테스트 정확도: 91.26358795166016
에포크: 6, 손실: 3.7305829524993896, 정확도: 90.92288970947266, 테스트 손실: 0.26667192578315735, 테스트 정확도: 91.80339813232422
에포크: 7, 손실: 3.2145705223083496, 정확도: 91.60511779785156, 테스트 손실: 0.2506030201911926, 테스트 정확도: 92.30769348144531
에포크: 8, 손실: 2.8264334201812744, 정확도: 92.15141296386719, 테스트 손실: 0.23560361564159393, 테스트 정확도: 92.71654510498047
에포크: 9, 손실: 2.52374529838562, 정확도: 92.61685943603516, 테스트 손실: 0.22664406895637512, 테스트 정확도: 92.95404815673828
에포크: 10, 손실: 2.2808470726013184, 정확도: 93.00919342041016, 테스트 손실: 0.218327134847641, 테스트 정확도: 93.22395324707031
에포크: 11, 손실: 2.081897497177124, 정확도: 93.33091735839844, 테스트 손실: 0.20915810763835907, 테스트 정확도: 93.48739624023438
에포크: 12, 손실: 1.9160685539245605, 정확도: 93.60456848144531, 테스트 손실: 0.20202112197875977, 테스트 정확도: 93.66964721679688
에포크: 13, 손실: 1.775563359260559, 정확도: 93.8402099609375, 테스트 손실: 0.19750528037548065, 테스트 정확도: 93.82221984863281
에포크: 14, 손실: 1.6546961069107056, 정확도: 94.06330871582031, 테스트 손실: 0.19189156591892242, 테스트 정확도: 94.00322723388672
에포크: 15, 손실: 1.5495550632476807, 정확도: 94.26129150390625, 테스트 손실: 0.18949168920516968, 테스트 정확도: 94.12812805175781
에포크: 16, 손실: 1.4575492143630981, 정확도: 94.43900299072266, 테스트 손실: 0.18603841960430145, 테스트 정확도: 94.26539611816406
에포크: 17, 손실: 1.3764015436172485, 정확도: 94.59722900390625, 테스트 손실: 0.18281622231006622, 테스트 정확도: 94.35768127441406
에포크: 18, 손실: 1.3042311668395996, 정확도: 94.73934936523438, 테스트 손실: 0.18178758025169373, 테스트 정확도: 94.4237289428711
에포크: 19, 손실: 1.2395228147506714, 정확도: 94.87142181396484, 테스트 손실: 0.17816926538944244, 테스트 정확도: 94.53889465332031
에포크: 20, 손실: 1.1809279918670654, 정확도: 94.99853515625, 테스트 손실: 0.17479215562343597, 테스트 정확도: 94.63509368896484
에포크: 21, 손실: 1.1276822090148926, 정확도: 95.1195068359375, 테스트 손실: 0.1729716807603836, 테스트 정확도: 94.72161865234375
에포크: 22, 손실: 1.0793122053146362, 정확도: 95.23202514648438, 테스트 손실: 0.16970278322696686, 테스트 정확도: 94.81481170654297
에포크: 23, 손실: 1.0349663496017456, 정확도: 95.33880615234375, 테스트 손실: 0.17251969873905182, 테스트 정확도: 94.82161712646484
에포크: 24, 손실: 0.994396984577179, 정확도: 95.43514251708984, 테스트 손실: 0.17055155336856842, 테스트 정확도: 94.88555908203125
에포크: 25, 손실: 0.9570279717445374, 정확도: 95.52515411376953, 테스트 손실: 0.1686655580997467, 테스트 정확도: 94.94651794433594
에포크: 26, 손실: 0.9223962426185608, 정확도: 95.61459350585938, 테스트 손실: 0.1664421558380127, 테스트 정확도: 95.00442504882812
에포크: 27, 손실: 0.8902462720870972, 정확도: 95.70451354980469, 테스트 손실: 0.16469527781009674, 테스트 정확도: 95.0568618774414
에포크: 28, 손실: 0.8603845834732056, 정확도: 95.78486633300781, 테스트 손실: 0.16286607086658478, 테스트 정확도: 95.10897064208984
에포크: 29, 손실: 0.832802951335907, 정확도: 95.85417175292969, 테스트 손실: 0.16086068749427795, 테스트 정확도: 95.15933227539062
에포크: 30, 손실: 0.8067950010299683, 정확도: 95.92737579345703, 테스트 손실: 0.1591319739818573, 테스트 정확도: 95.20775604248047
에포크: 31, 손실: 0.7824671864509583, 정확도: 95.99311065673828, 테스트 손실: 0.1574420928955078, 테스트 정확도: 95.25855255126953
에포크: 32, 손실: 0.7596385478973389, 정확도: 96.05964660644531, 테스트 손실: 0.1557691991329193, 테스트 정확도: 95.3041763305664
에포크: 33, 손실: 0.7379724383354187, 정확도: 96.12796020507812, 테스트 손실: 0.15492035448551178, 테스트 정확도: 95.34090423583984
에포크: 34, 손실: 0.7176322340965271, 정확도: 96.18841552734375, 테스트 손실: 0.15460409224033356, 테스트 정확도: 95.37577819824219
에포크: 35, 손실: 0.6984450817108154, 정확도: 96.24861145019531, 테스트 손실: 0.15415680408477783, 테스트 정확도: 95.40318298339844
에포크: 36, 손실: 0.6804232597351074, 정확도: 96.30155181884766, 테스트 손실: 0.15351173281669617, 테스트 정확도: 95.43113708496094
에포크: 37, 손실: 0.6632351875305176, 정확도: 96.3564453125, 테스트 손실: 0.15253810584545135, 테스트 정확도: 95.47169494628906
에포크: 38, 손실: 0.6468505263328552, 정확도: 96.41244506835938, 테스트 손실: 0.1520174741744995, 테스트 정확도: 95.49188232421875
에포크: 39, 손실: 0.6314196586608887, 정확도: 96.46346282958984, 테스트 손실: 0.15147916972637177, 테스트 정확도: 95.5208740234375
에포크: 40, 손실: 0.6166319251060486, 정확도: 96.51518249511719, 테스트 손실: 0.15033309161663055, 테스트 정확도: 95.55188751220703
에포크: 41, 손실: 0.6025503873825073, 정확도: 96.56471252441406, 테스트 손실: 0.14937153458595276, 테스트 정확도: 95.58709716796875
에포크: 42, 손실: 0.5891556143760681, 정확도: 96.61067199707031, 테스트 손실: 0.1486181765794754, 테스트 정확도: 95.62493896484375
에포크: 43, 손실: 0.5763653516769409, 정확도: 96.65697479248047, 테스트 손실: 0.14765290915966034, 테스트 정확도: 95.6583023071289
에포크: 44, 손실: 0.5641158819198608, 정확도: 96.70256042480469, 테스트 손실: 0.14647574722766876, 테스트 정확도: 95.69232177734375
에포크: 45, 손실: 0.5524781942367554, 정확도: 96.74227905273438, 테스트 손실: 0.14598003029823303, 테스트 정확도: 95.71891784667969
에포크: 46, 손실: 0.5412186980247498, 정확도: 96.785888671875, 테스트 손실: 0.14548401534557343, 테스트 정확도: 95.74134063720703
에포크: 47, 손실: 0.5304152965545654, 정확도: 96.82910919189453, 테스트 손실: 0.14510738849639893, 테스트 정확도: 95.76326751708984
에포크: 48, 손실: 0.5201293230056763, 정확도: 96.86737060546875, 테스트 손실: 0.1444832682609558, 테스트 정확도: 95.78250885009766
에포크: 49, 손실: 0.5102893114089966, 정확도: 96.90422821044922, 테스트 손실: 0.14393660426139832, 테스트 정확도: 95.80899810791016
에포크: 50, 손실: 0.5010263323783875, 정확도: 96.93476867675781, 테스트 손실: 0.14356596767902374, 테스트 정확도: 95.81419372558594
에포크: 51, 손실: 0.49195921421051025, 정확도: 96.96646118164062, 테스트 손실: 0.14304997026920319, 테스트 정확도: 95.8377685546875
에포크: 52, 손실: 0.4831506609916687, 정확도: 97.000732421875, 테스트 손실: 0.14264191687107086, 테스트 정확도: 95.85205078125
에포크: 53, 손실: 0.4745933711528778, 정확도: 97.03671264648438, 테스트 손실: 0.1424037367105484, 테스트 정확도: 95.8756332397461
에포크: 54, 손실: 0.46640053391456604, 정확도: 97.06929016113281, 테스트 손실: 0.1423085331916809, 테스트 정확도: 95.89420318603516
에포크: 55, 손실: 0.4585151970386505, 정확도: 97.10147094726562, 테스트 손실: 0.14226143062114716, 테스트 정확도: 95.91015625
에포크: 56, 손실: 0.4510534703731537, 정확도: 97.12992095947266, 테스트 손실: 0.14189371466636658, 테스트 정확도: 95.93220520019531
에포크: 57, 손실: 0.44371211528778076, 정확도: 97.15985107421875, 테스트 손실: 0.14148132503032684, 테스트 정확도: 95.95085144042969
에포크: 58, 손실: 0.43659988045692444, 정확도: 97.18953704833984, 테스트 손실: 0.14099407196044922, 테스트 정확도: 95.97438049316406
에포크: 59, 손실: 0.43007132411003113, 정확도: 97.20926666259766, 테스트 손실: 0.14085665345191956, 테스트 정확도: 95.99005889892578
에포크: 60, 손실: 0.42350292205810547, 정확도: 97.23505401611328, 테스트 손실: 0.14018385112285614, 테스트 정확도: 96.01107788085938
